t_real, tv, d_tv, e_p_x, e_p_y,e_p_z, e_o_x, e_o_y, e_o_z, e_v_lin_x, e_v_lin_y, e_v_lin_z, e_v_ang_x, e_v_ang_y, e_v_ang_z,W_0x, W_0y, W_0z,  W_1x, W_1y, W_1z,  W_2x, W_2y, W_2z,  W_3x, W_3y, W_3z,p_c_x, p_c_y, p_c_z,p_d_x, p_d_y, p_d_z,prob0, prob1, prob2, prob3 
0.002,0.002,1,0.000410233,5.42094e-08,1.58451e-06,0,-0,-3.14159,0.205117,2.71047e-05,0.000792255,-4.15102e-05,4.02261e-05,0.000165594,35,35,35,35,35,35,35,35,35,35,35,35,0.0766884,-0.0221328,0.357635,0.0762774,-0.0221329,0.357633,1,1,1,1
0.004,0.004,1,0.000819382,7.57091e-08,6.55959e-06,-0.00100537,-2.54031e-06,1.01748e-06,0.204574,1.07498e-05,0.00248754,-0.351843,-0.000927775,0.000201591,35,35,35,35,35,35,35,35,35,35,35,35,0.0766884,-0.0221328,0.357635,0.075869,-0.0221329,0.357628,1,1,1,1
0.006,0.006,1,0.00122976,4.1228e-07,1.65641e-05,-0.00201069,-5.16883e-06,1.44912e-06,0.205188,0.000168285,0.00500225,-0.191423,-0.033021,0.354512,35,35,35,35,35,35,35,35,35,35,35,35,0.0766905,-0.0221325,0.357636,0.0754607,-0.0221329,0.35762,1,1,1,1
0.008,0.008,1,0.001638,4.1228e-07,2.82382e-05,-0.00255761,-0.000100024,0.00101429,0.20412,0,0.00583706,-0.351841,-0.00127806,0.000107622,35,35,35,35,35,35,35,35,35,35,35,35,0.0766905,-0.0221325,0.357636,0.0750525,-0.0221329,0.357608,1,1,1,1
0.01,0.01,1,0.0020488,9.45683e-07,4.00518e-05,-0.00356287,-0.000103166,0.00101465,0.205402,0.000266702,0.00590682,-0.227363,-0.0557046,0.445002,35,35,35,35,35,35,35,35,35,35,35,35,0.0766931,-0.022132,0.357633,0.0746443,-0.0221329,0.357593,1,1,1,1
0.012,0.012,1,0.00246044,3.02439e-06,5.48701e-05,-0.0042125,-0.000263618,0.00228591,0.205817,0.00103935,0.00740911,-0.269904,-0.0428788,0.390819,35.0119,35.0119,35,35.0119,35.0119,35,35,35,35,35.0119,35.0119,35,0.0766968,-0.0221299,0.35763,0.0742364,-0.0221329,0.357575,0.9604,0.9604,1,0.9604
0.014,0.0139993,0.999661,0.00286813,3.02439e-06,7.65354e-05,-0.00498365,-0.000387038,0.00340244,0.203846,0,0.0108327,-0.351682,-0.00211731,1.13951e-05,35.0238,35.0238,35,35.0238,35.0238,35,35.0119,35.0119,35,35.0238,35.0238,35,0.0766978,-0.0221282,0.357627,0.0738287,-0.0221329,0.357553,0.9604,0.9604,0.9604,0.9604
0.016,0.015998,0.999322,0.00327648,4.77344e-06,9.90572e-05,-0.00598847,-0.000391379,0.00340265,0.204175,0.000874522,0.0112609,-0.315253,-0.0331473,0.372989,35.0356,35.0356,35,35.0356,35.0356,35,35.0238,35.0238,35,35.0356,35.0356,35,0.0766978,-0.0221281,0.357627,0.0734213,-0.0221329,0.357528,0.9604,0.9604,0.9604,0.9604
0.018,0.0179959,0.998983,0.0036817,6.99673e-06,0.000126242,-0.00688914,-0.000487209,0.00446827,0.202611,0.00111164,0.0135922,-0.338911,-0.0257068,0.356663,35.0475,35.0475,35,35.0475,35.0475,35,35.0356,35.0356,35,35.0475,35.0475,35,0.076696,-0.0221259,0.357626,0.0730143,-0.0221329,0.3575,0.9604,0.9604,0.9604,0.9604
0.02,0.0199932,0.998644,0.00407981,1.23497e-05,0.000158052,-0.00785738,-0.000561492,0.00548732,0.199055,0.0026765,0.015905,-0.352341,-0.0297388,0.54956,35.0594,35.0594,35,35.0594,35.0594,35,35.0475,35.0475,35,35.0594,35.0594,35,0.0766875,-0.0221205,0.357626,0.0726077,-0.0221329,0.357468,0.9604,0.9604,0.9604,0.9604
